Date,Price
01.01.2017,"2,7335"
01.02.2017,"2,7140"
01.03.2017,"2,6600"
01.04.2017,"2,6075"
01.05.2017,"2,5865"
01.06.2017,"2,7110"
01.07.2017,"2,9000"
01.08.2017,"3,0940"
01.09.2017,"2,9550"
01.10.2017,"3,1080"
01.11.2017,"3,0555"
01.12.2017,"3,3005"
01.01.2018,"3,2065"
01.02.2018,"3,1325"
01.03.2018,"3,0370"
01.04.2018,"3,0740"
01.05.2018,"3,0750"
01.06.2018,"2,9660"
01.07.2018,"2,8405"
01.08.2018,"2,6645"
01.09.2018,"2,8050"
01.10.2018,"2,6670"
01.11.2018,"2,7865"
01.12.2018,"2,6310"
01.01.2019,"2,7890"
01.02.2019,"2,9480"
01.03.2019,"2,9395"
01.04.2019,"2,9040"
01.05.2019,"2,6405"
01.06.2019,"2,7135"
01.07.2019,"2,6715"
01.08.2019,"2,5470"
01.09.2019,"2,5785"
01.10.2019,"2,6425"
01.11.2019,"2,6560"
01.12.2019,"2,7970"
01.01.2020,"2,5200"
01.02.2020,"2,5400"
01.03.2020,"2,2320"
01.04.2020,"2,3440"
01.05.2020,"2,4345"
01.06.2020,"2,7285"
01.07.2020,"2,8770"
01.08.2020,"3,0555"
01.09.2020,"3,0325"
01.10.2020,"3,0515"
01.11.2020,"3,4335"
01.12.2020,"3,5190"
01.01.2021,"3,5580"
01.02.2021,"4,0925"
01.03.2021,"4,0000"
01.04.2021,"4,4680"
01.05.2021,"4,6810"
01.06.2021,"4,2890"
01.07.2021,"4,4655"
01.08.2021,"4,3700"
01.09.2021,"4,0890"
01.10.2021,"4,3590"
01.11.2021,"4,2805"
01.12.2021,"4,4635"
01.01.2022,"4,3265"
01.02.2022,"4,4545"
01.03.2022,"4,7520"
01.04.2022,"4,4085"
01.05.2022,"4,2990"
01.06.2022,"3,7100"
01.07.2022,"3,5750"
01.08.2022,"3,5190"
01.09.2022,"3,4125"
01.10.2022,"3,3750"
01.11.2022,"3,7380"
01.12.2022,"3,8105"
01.01.2023,"4,2260"
01.02.2023,"4,0740"
01.03.2023,"4,0945"
01.04.2023,"3,8812"
01.05.2023,"3,6370"
01.06.2023,"3,7595"
01.07.2023,"4,0080"
01.08.2023,"3,8220"
01.09.2023,"3,7375"
01.10.2023,"3,6490"
01.11.2023,"3,8505"
01.12.2023,"3,8905"
01.01.2024,"3,9170"
01.02.2024,"3,8470"
01.03.2024,"4,0250"
01.04.2024,"4,5630"
01.05.2024,"4,6020"
01.06.2024,"4,3850"
01.07.2024,"4,1765"
01.08.2024,"4,1670"
01.09.2024,"4,5530"
01.10.2024,"4,3515"
