Date,Interest Rate (%)
2017-01,16.3575
2017-02,16.72
2017-03,16.619999999999997
2017-04,16.8825
2017-05,17.235
2017-06,17.348000000000003
2017-07,17.5425
2017-08,17.905
2017-09,18.164
2017-10,18.5375
2017-11,18.7925
2017-12,19.356
2018-01,20.015
2018-02,20.177500000000002
2018-03,19.844
2018-04,19.9775
2018-05,20.1875
2018-06,23.108
2018-07,24.96
2018-08,28.822000000000003
2018-09,36.4075
2018-10,38.72
2018-11,36.098
2018-12,33.585
2019-01,30.8125
2019-02,26.4175
2019-03,23.512
2019-04,25.935
2019-05,29.032
2019-06,29.1275
2019-07,27.405
2019-08,23.088
2019-09,20.1725
2019-10,18.3425
2019-11,16.986
2019-12,15.9825
2020-01,15.190000000000001
2020-02,14.3575
2020-03,14.7275
2020-04,12.3925
2020-05,10.608
2020-06,12.665
2020-07,12.368
2020-08,16.535
2020-09,18.490000000000002
2020-10,19.502000000000002
2020-11,21.0825
2020-12,22.76
2021-01,22.818
2021-02,22.42
2021-03,22.642500000000002
2021-04,23.98
2021-05,23.6625
2021-06,23.369999999999997
2021-07,22.94
2021-08,23.0475
2021-09,23.2825
2021-10,23.338
2021-11,23.44
2021-12,26.544
2022-01,31.7025
2022-02,29.865
2022-03,28.9075
2022-04,27.732
2022-05,28.6125
2022-06,30.8625
2022-07,34.17999999999999
2022-08,34.25
2022-09,32.398
2022-10,31.4325
2022-11,30.6775
2022-12,30.360000000000003
2023-01,29.9775
2023-02,30.115000000000002
2023-03,29.333999999999996
2023-04,33.04
2023-05,36.9325
2023-06,41.464
2023-07,47.605000000000004
2023-08,47.3625
2023-09,57.955999999999996
2023-10,60.7225
2023-11,60.019999999999996
2023-12,61.694
2024-01,62.305
2024-02,60.9525
2024-03,73.608
2024-04,82.2475
2024-05,78.00399999999999
2024-06,74.91
2024-07,76.2225
2024-08,73.53200000000001
2024-09,71.9025
2024-10,71.0575
2024-11,70.3
2024-12,69.4825
